dataset,algorithm,min_sup,average_time,peak_ram_mb,frequent_itemsets,candidate_count
chess,original_apriori,0.95,0.003084,42.14,77,86
chess,optimized_apriori,0.95,0.002719,42.89,77,86
chess,linear_table_sota,0.95,0.008098,43.10,77,NA
chess,original_apriori,0.95,0.003966,43.10,77,86
chess,optimized_apriori,0.95,0.002728,43.11,77,86
chess,linear_table_sota,0.95,0.007777,43.11,77,NA
chess,original_apriori,0.95,0.002386,43.10,77,86
chess,optimized_apriori,0.95,0.002593,43.11,77,86
chess,linear_table_sota,0.95,0.007677,43.18,77,NA
chess,original_apriori,0.90,0.007244,43.18,622,672
chess,optimized_apriori,0.90,0.007831,43.19,622,672
chess,linear_table_sota,0.90,0.047088,43.61,622,NA
chess,original_apriori,0.90,0.007094,43.61,622,672
chess,optimized_apriori,0.90,0.006366,43.61,622,672
chess,linear_table_sota,0.90,0.045821,43.62,622,NA
chess,original_apriori,0.90,0.007546,43.61,622,672
chess,optimized_apriori,0.90,0.007104,43.62,622,672
chess,linear_table_sota,0.90,0.046434,43.63,622,NA
chess,original_apriori,0.85,0.025976,43.63,2669,2817
chess,optimized_apriori,0.85,0.022935,43.65,2669,2817
chess,linear_table_sota,0.85,0.168980,44.57,2669,NA
chess,original_apriori,0.85,0.028125,44.57,2669,2817
chess,optimized_apriori,0.85,0.022415,44.58,2669,2817
chess,linear_table_sota,0.85,0.166962,44.66,2669,NA
chess,original_apriori,0.85,0.025690,44.66,2669,2817
chess,optimized_apriori,0.85,0.025674,44.66,2669,2817
chess,linear_table_sota,0.85,0.169041,44.66,2669,NA
connect,original_apriori,0.95,0.602292,44.65,4459,4569
connect,optimized_apriori,0.95,0.493171,56.27,4459,4569
connect,linear_table_sota,0.95,7.290797,86.96,4459,NA
connect,original_apriori,0.95,0.605948,45.82,4459,4569
connect,optimized_apriori,0.95,0.460622,66.86,4459,4569
connect,linear_table_sota,0.95,9.807348,87.20,4459,NA
connect,original_apriori,0.95,0.963011,45.53,4459,4569
connect,optimized_apriori,0.95,0.737559,67.02,4459,4569
connect,linear_table_sota,0.95,12.152546,87.45,4459,NA
connect,original_apriori,0.90,16.219563,53.42,47719,47966
connect,optimized_apriori,0.90,13.466981,68.12,47719,47966
connect,linear_table_sota,0.90,90.784708,103.51,47719,NA
connect,original_apriori,0.90,16.426642,53.57,47719,47966
connect,optimized_apriori,0.90,14.260408,74.90,47719,47966
connect,linear_table_sota,0.90,94.163090,103.61,47719,NA
connect,original_apriori,0.90,16.024502,53.73,47719,47966
connect,optimized_apriori,0.90,13.655295,75.04,47719,47966
connect,linear_table_sota,0.90,83.722600,102.34,47719,NA
connect,original_apriori,0.85,95.210524,87.09,238431,238902
connect,optimized_apriori,0.85,247.496661,99.52,238431,238902
connect,linear_table_sota,0.85,670.679443,134.07,238431,NA
connect,original_apriori,0.85,154.460037,88.75,238431,238902
connect,optimized_apriori,0.85,141.115024,100.46,238431,238902
connect,linear_table_sota,0.85,773.939916,135.98,238431,NA
connect,original_apriori,0.85,165.446941,90.29,238431,238902
connect,optimized_apriori,0.85,146.215474,88.35,238431,238902
connect,linear_table_sota,0.85,765.000412,115.54,238431,NA
accidents,original_apriori,0.95,0.073406,46.98,15,11
accidents,optimized_apriori,0.95,0.113232,79.69,15,11
accidents,linear_table_sota,0.95,0.174132,90.35,15,NA
accidents,original_apriori,0.95,0.056637,80.37,15,11
accidents,optimized_apriori,0.95,0.105656,85.61,15,11
accidents,linear_table_sota,0.95,0.174352,93.32,15,NA
accidents,original_apriori,0.95,0.059161,84.23,15,11
accidents,optimized_apriori,0.95,0.126396,87.09,15,11
accidents,linear_table_sota,0.95,0.202215,94.28,15,NA
accidents,original_apriori,0.90,0.106492,85.11,31,26
accidents,optimized_apriori,0.90,0.157005,87.46,31,26
accidents,linear_table_sota,0.90,0.352789,95.99,31,NA
accidents,original_apriori,0.90,0.117389,85.25,31,26
accidents,optimized_apriori,0.90,0.174489,87.62,31,26
accidents,linear_table_sota,0.90,0.269397,96.09,31,NA
accidents,original_apriori,0.90,0.096630,85.31,31,26
accidents,optimized_apriori,0.90,0.141247,87.68,31,26
accidents,linear_table_sota,0.90,0.274182,96.11,31,NA
accidents,original_apriori,0.85,0.200781,85.31,71,70
accidents,optimized_apriori,0.85,0.167149,87.69,71,70
accidents,linear_table_sota,0.85,0.507273,96.12,71,NA
accidents,original_apriori,0.85,0.201215,85.36,71,70
accidents,optimized_apriori,0.85,0.174878,87.78,71,70
accidents,linear_table_sota,0.85,0.509709,96.07,71,NA
accidents,original_apriori,0.85,0.207104,85.29,71,70
accidents,optimized_apriori,0.85,0.176381,87.76,71,70
accidents,linear_table_sota,0.85,0.522661,96.17,71,NA
